0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
,,,Step 1,,,,,Step 2,,,,Step 3,,,Step 4,,,Step 5,,Step 6,,,,Consultation during action plan development,,Consultation during implementation,,,,Government self-assessment report,,,,,,,,,,,,,Institutional Variables,,,,,,,,,,,,
Country name,Action Plan Number,Year AP Submitted,Step 1: Timeline and process: Prior availability,_Timelineavailability,Timeline: Online,Timeline: other channels,Timeline: links,Step 2: Advance notice,_Advance notice,Days in advance,Advance notice: Adequacy,Step 3: Awareness-raising activities,_Awareness-Raising,Awareness-raising activities: Links,Step 4: Online consultations,_Online consultation,Online consultations: Link,Step 5: In-person consultations,_In-person consultations,Step 6: Summary of comments,_Summary of comments,Summary of comments: Link,_Number of steps followed (out of 6),Invitation-only or open participation during dev. consultation,IAP2 level during development,Consultation during action plan implementation (regular forum),_Regular forum,Invitation-only or open participation during imp. consultation,IAP2 level during imp.,Was annual progress report published?,_Self assessment published,Was it done according to schedule?,Is the report available in the local language?,Is the report available in English?,Did the government provide a two-week public comment period on draft self-assessment reports?,Did the report include a review of its public comment period?,Were any public comments received?,Is the report deposited in the OGP portal?,Did the self-assessment report include review of the consultation efforts?,Did the report cover all of the commitments?,Did it assess completion according to schedule?,Did the self-assessment report include review of the consultation efforts on draft self-assessments?,Only one branch,Executive,Multi-agency (1) vs. Single (0),Single Lead,Pres Office/PM,Executive Lead Agency,Ministry of Foreign Affairs,MOFA Lead Agency,Officially Mandated,Legally mandated,Multiple Arrangements,"Implementing agency same as developing agency? 1=Y, 0=N",Change of executive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Step 1,,,,,Step 2,,,,Step 3,,,Step 4,,,Step 5,,Step 6,,,,Consultation during action plan development,,Consultation during implementation,,,,Government self-assessment report,,,,,,,,,,,,,Institutional Variables,,,,,,,,,,,,
Country name,Action Plan Number,Year AP Submitted,Step 1: Timeline and process: Prior availability,_Timelineavailability,Timeline: Online,Timeline: other channels,Timeline: links,Step 2: Advance notice,_Advance notice,Days in advance,Advance notice: Adequacy,Step 3: Awareness-raising activities,_Awareness-Raising,Awareness-raising activities: Links,Step 4: Online consultations,_Online consultation,Online consultations: Link,Step 5: In-person consultations,_In-person consultations,Step 6: Summary of comments,_Summary of comments,Summary of comments: Link,_Number of steps followed (out of 6),Invitation-only or open participation during dev. consultation,IAP2 level during development,Consultation during action plan implementation (regular forum),_Regular forum,Invitation-only or open participation during imp. consultation,IAP2 level during imp.,Was annual progress report published?,_Self assessment published,Was it done according to schedule?,Is the report available in the local language?,Is the report available in English?,Did the government provide a two-week public comment period on draft self-assessment reports?,Did the report include a review of its public comment period?,Were any public comments received?,Is the report deposited in the OGP portal?,Did the self-assessment report include review of the consultation efforts?,Did the report cover all of the commitments?,Did it assess completion according to schedule?,Did the self-assessment report include review of the consultation efforts on draft self-assessments?,Only one branch,Executive,Multi-agency (1) vs. Single (0),Single Lead,Pres Office/PM,Executive Lead Agency,Ministry of Foreign Affairs,MOFA Lead Agency,Officially Mandated,Legally mandated,Multiple Arrangements,"Implementing agency same as developing agency? 1=Y, 0=N",Change of executive
Albania,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,No,0,NA,NA,Yes,1,No,No,Yes,No,NA,NA,Yes,Yes,No,No,NR,1,1,1,1,1,NA,0,NR,1,0,1,0,1
Albania,2,2014,No,0,Yes,No,bit.ly/1TESrtu,Yes,1,17,No,No,0,NA,Yes,1,bit.ly/1CJic7z bit.ly/1gDxSiJ,Yes,1,Yes,1,bit.ly/1O6IW1L,4,Open,Consult,No,0,NA,NA,Yes,1,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,NR,1,1,1,1,1,0,1,0,1,1,0,1,1
Argentina,1,2013,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,Invitation-only,Involve,Yes,1,Open,Involve,Yes,1,Yes,Yes,Yes,No,NA,NA,Yes,Yes,Yes,No,Yes,1,1,0,1,0,0,0,0,0,0,1,1,0
Argentina,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,0,NA,0,NA,0,0,1,1,1
Armenia,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,Yes,1,NR,NR,Yes,1,No,Yes,Yes,No,NA,NA,Yes,No,Yes,No,NR,1,1,1,1,0,NA,1,NR,1,0,0,1,0
Armenia,2,2014,No,0,No,No,NA,Yes,1,7,Yes,No,0,NA,Yes,1,http://www.ogp.am/hy/plan/,Yes,1,Yes,1,http://www.ogp.am/hy/plan,4,Invitation-only,Consult,Yes,1,Invitation-only,Inform,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,1,1,1,0,1,0,1,1,1
Azerbaijan,1,2012,No,0,No,No,NA,No,0,NA,No,Yes,1,http://bit.ly/1aAQax7,Yes,1,http://bit.ly/1n32b1l,Yes,1,No,0,NA,3,NR,NR,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,NR,1,0,0,1,0
Azerbaijan,2,2016,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Brazil,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Brazil,2,2013,Yes,1,Yes,Yes,NA,Yes,1,210,Yes,Yes,1,NA,Yes,1,NA,Yes,1,Yes,1,NA,6,Open,Consult,NR,NR,Open,Consult,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,1,NA,0,NR,1,0,0,1,0
Bulgaria,1,2012,Yes,1,No,No,http://www.strategy.bg/Articles/View.aspx?lang=bg-<br/>BG&categoryId=&Id=5&y=&m=&d=,No,0,NA,No,No,0,NA,Yes,1,NA,Yes,1,Yes,1,http://www.strategy.bg/Articles/View.aspx?lang=bg-<br/>BG&categoryId=&Id=5&y=&m=&d=,4,NR,NR,No,0,NA,NA,Yes,1,No,Yes,No,No,NA,NA,No,No,Yes,No,NR,0,1,1,1,1,1,1,1,1,0,0,0,1
Bulgaria,2,2014,No,0,No,No,NA,Yes,1,4,No,No,0,NA,Yes,1,http://bit.ly/1nZYLdN http://bit.ly/1lCtzWn,Yes,1,Yes,1,http://bit.ly/1Ab1JSt,4,Open,Collaborate,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NR,0,1,1,1,1,0,1,0,1,0,0,1,0
Canada,1,2012,No,0,Yes,Yes,NA,No,0,NA,No,Yes,1,NA,Yes,1,http://data.gc.ca/eng/open-government-<br/>consultation-report,No,0,Yes,1,http://data.gc.ca/eng/open-government-<br/>consultation-report,3,NR,NR,Yes,1,NR,NR,Yes,1,No,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,0,0,1,NR,1,0,1,1,0
Canada,2,2014,Yes,1,Yes,Yes,http://goo.gl/HuKVsm<br/>http://goo.gl/AqPpBr,Yes,1,Unclear,No,Yes,1,http://open.canada.ca/en/stay-connected<br/>http://goo.gl/PEDVhx<br/>http://news.gc.ca/web/articleen.do?nid=848169<br/>http://news.gc.ca/web/articleen.do?nid=842049,Yes,1,http://open.canada.ca/en/consultation s/open-government-action-plan-20- consultation,Yes,1,Yes,1,http://open.canada.ca/en/consultations<br/>/what-we-heard-summary-report<br/>http://open.canada.ca/data/en/dataset/<br/>74aa0e1a-8e13-4ddb-a31e-<br/>129c253a09b3,6,Open,Consult,No,0,Invitation-only,Consult,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,NA,0,NA,1,0,0,1,1
Chile,1,2012,Yes,1,Yes,Yes,http://www.AGA.cl/2011/12/23/<br/><br/>consulta-publica-alianza-para-el-<br/>gobierno-abierto/,Yes,1,8,Yes,Yes,1,http://www.minsegpres.gob.cl/<br/><br/>2011/12/parte-consulta-ciudadana-<br/>sobre-medidas-de-transparencia-y-<br/><br/>participacion-en-chile/,Yes,1,http://www.cdc.gob.cl/2011/12/23/<br/><br/>consulta-publica-alianza-para-el-<br/>gobierno-abierto/,Yes,1,Yes,1,http://www.AGA.cl/wp-<br/>content/uploads/documentos/<br/><br/>310112_Respuestas_a_Consulta_F<br/><br/>inal.pdf,6,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,No,Yes,Yes,NR,0,1,1,1,1,NA,0,NR,1,0,0,1,0
Chile,2,2014,No,0,Yes,No,NA,No,0,NA,No,No,0,NA,Yes,1,NA,Yes,1,Yes,1,NA,3,Open,Consult,Yes,1,Invitation-only,Involve,Yes,1,Yes,Yes,No,Yes,Yes,NR,No,No,Yes,Yes,NR,1,1,1,1,1,1,1,0,1,0,1,1,1
Colombia,1,2012,No,0,No,No,http://www.urnadecristal.gov.co/acuerdo-y-tematica/plan-de-accion-alianza-gobierno-abierto <br/>http://www.urnadecristal.gov.co/gestion-gobierno/gobierno-abierto-colombia,No,0,NA,No,Yes,1,NA,Yes,1,NA,Yes,1,No,0,NA,3,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Unclear,Yes,Yes,No,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Colombia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,1,1,0,NA,1,0,0,1,0
Costa Rica,1,2013,No,0,No,No,NA,No,0,NA,No,Yes,1,NA,Yes,1,NA,Yes,1,No,0,NA,3,Open,Inform,Yes,1,Open,Inform,Yes,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,0,1,1,0,1,0,1,0,0,1,1
Costa Rica,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Croatia,1,2012,Yes,1,Yes,Yes,http://bit.ly/JFwWdK<br/>http://bit.ly/1dluHV6<br/>http://bit.ly/19wMxFQ<br/>,Yes,1,14,Yes,Yes,1,http://bit.ly/JFwWdK<br/>http://bit.ly/1dluHV6<br/>http://bit.ly/19wMxFQ<br/>,Yes,1,http://bit.ly/1hj0Tvb,Yes,1,Yes,1,http://bit.ly/JFwWdK<br/>http://bit.ly/1dluHV6<br/>http://bit.ly/19wMxFQ<br/><br/>,6,NR,NR,Yes,1,NR,NR,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,1,1,1,NR,1,0,1,0,0
Croatia,2,2014,Yes,1,Yes,Yes,http://bit.ly/1URkTbs,Yes,1,14,Yes,Yes,1,http://bit.ly/1PFqnpK http://bit.ly/1X92wjE http://bit.ly/1KvucNK http://bit.ly/20MhSg5,Yes,1,http://bit.ly/20eQViY http://bit.ly/20xLMIn http://bit.ly/1Qitu2Y http://bit.ly/1QitxvN,Yes,1,Yes,1,http://bit.ly/1Qitu2Y,6,Open,Collaborate,Yes,1,Open,Collaborate,Yes,1,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,NR,0,1,1,1,1,0,1,1,1,0,0,1,1
Czech Republic,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,Yes,1,http://bit.ly/17hyzGA,Yes,1,Yes,1,http://bit.ly/18JW3l1,3,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,No,NA,NA,Yes,No,Yes,Yes,NR,1,1,1,0,1,1,0,NR,1,0,1,0,0
Czech Republic,2,2014,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NA,NA,No,0,NA,NA,Yes,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NR,1,1,1,1,1,1,1,0,1,1,1,1,1
Denmark,1,2012,Yes,1,Yes,No,http://hoeringsportalen.dk/Hearing/Details/15407,Yes,1,26,Yes,Yes,1,NA,Yes,1,http://hoeringsportalen.dk/Hearing/Details/15407,No,0,Yes,1,http://digitaliser.dk/resource/2289079,5,NR,NR,Yes,1,NR,NR,Yes,1,Yes,Yes,Yes,Yes,NR,No,Yes,Yes,Yes,No,NR,1,1,0,1,0,0,0,NR,1,0,1,1,1
Denmark,2,2014,Yes,1,Yes,No,http://hoeringsportalen.dk/Hearing/Details/16324,Yes,1,33,Yes,Yes,1,https://twitter.com/search?q=%23ogp_dk&src=typd https://digitaliser.dk/resource/2428113,Yes,1,https://hoeringsportalen.dk/Hearing/Details/16324,No,0,Yes,1,http://digitaliser.dk/resource/2508477,5,Open,Consult,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,1,0,NA,1,0,0,0,0,1,1
Dominican Republic,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,No,No,NA,NA,Yes,No,No,No,NR,1,1,1,1,1,NA,0,NR,0,0,0,0,1
Dominican Republic,2,2014,Yes,1,Yes,Yes,http://www.gobiernoabierto.do/ga/PlandeAccion.html#SegundoPlandeAccion,Yes,1,15,Yes,Yes,1,http://hoy.com.do/inician-consultas-para-crear-segundo-plan-de-accion-de-gobierno-abierto/ http://elnuevodiario.com.do/mobile/article.aspx?id=367642 http://www.ultimasnoticias.com.do/2014/04/14/concluyen-consultas-ciudadanas-para-el-plan-deaccion-de-gobierno-abierto/,Yes,1,http://cdn.com.do/noticias/2014/04/14/digeig-concluye-consultas-para-segundo-plan-degobierno-abierto/ http://osicrd.one.gob.do/index.php?option=com_zoo&task=item&item_id=1616&Itemid=194 http://taiguey.org/cact-dom/prensa.php?msg=prensa_tics_dom-3964 http://www.listindiario.com/la-republica/2014/4/14/318391/Sociedad-civil-realiza-propuestaspara-plan http://elnuevodiario.com.do/mobile/article.aspx?id=364076 http://www.almomento.net/articulo/160820/Concluyen-consultas-de-Segundo-Plan-de-GobiernoAbierto,Yes,1,No,0,NA,5,Open,Consult,No,0,NA,NA,Yes,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NR,0,1,1,1,0,NA,0,NA,1,0,0,1,0
El Salvador,1,2012,No,0,No,No,NA,No,0,NA,No,Yes,1,NA,Yes,1,http://consulta.gobiernoabierto.gob.sv/,Yes,1,Yes,1,"Informe consolidado, consulta para formular <br/><br/>el Plan de Acción, 2013",4,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,No,Yes,NR,Yes,Yes,Yes,Yes ,Yes,NR,1,1,1,1,1,1,0,NR,1,0,0,1,0
El Salvador,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,1,1,0,NA,0,0,1,1,0
El Salvador,3,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Estonia,1,2012,Yes,1,No,Yes,NA,No,0,NA,No,Yes,1,NA,Yes,1,http://bit.ly/1d5uyty,Yes,1,Yes,1,https://www.osale.ee/konsultatsioonid/index.php?page=consults&id=210,5,NR,NR,Yes,1,NR,NR,Yes,1,Yes,Yes,Yes,Yes,NR,No,Yes,Yes,Yes,Yes,NR,1,1,0,0,0,1,1,NR,1,0,0,0,0
Estonia,2,2014,No,0,Yes,Yes,http://bit.ly/1Nhqbh2,Yes,1,30,No,Yes,1,http://bit.ly/1NHDHVD,Yes,1,http://bit.ly/1mRv3K1,Yes,1,Yes,1,http://bit.ly/1NhqyZ2,5,Open,Collaborate,Yes,1,Open,Involve,Yes,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NR,1,1,1,1,1,1,1,0,1,0,1,1,1
Finland,1,2013,Yes,1,Yes,Yes,http://bit.ly/1rBDB6c,Yes,1,11,Yes,Yes,1,A list of awareness-raising events at Otakantaa.fi<br/>public consultation forum:<br/>http://bit.ly/1rBDB6c<br/>Finnish Open Government Partnership Facebook group:<br/>http://on.fb.me/1ubXliB,Yes,1,"The platforms otakantaa.fi and suomijoukkoistaa.fi,<br/>the Finnish OGP Facebook group and the Ministry of Finance Twitter<br/>were used for online consultation:<br/>http://bit.ly/1lOHC4M http://on.fb.me/1ubXliB http://bit.ly/1MAoKXT<br/>An overview of consultations held is found on the otakantaa.fi-service:<br/>http://bit.ly/1od20Vc",Yes,1,Yes,1,A summary of the final major meeting in Helsinki in January 2013:<br/>http://bit.ly/1rBFNe2<br/>Video of the discussions from another major event<br/>held in October 2012:<br/>http://bit.ly/1rghGBL,6,Open,Involve,Yes,1,Open,Consult,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,0,1,1,1,0,0,1,0,1,0,0,1,1
Finland,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Georgia,1,2012,No,0,No,No,NA,NR,NA,NR,NR,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,Yes,1,NR,NR,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,NR,0,1,0,0,0
Georgia,2,2014,Yes,1,Yes,No,http://bit.ly/XnWnHf http://bit.ly/1nYOsLq,Yes,1,3,No,No,0,NA,Yes,1,http://bit.ly/1oV3BNi,Yes,1,Yes,1,http://bit.ly/1ogjsRA,5,Open,Involve,Yes,1,Invitation-only,Collaborate,Yes,1,Yes,Yes,No,No,NA,NA,No,No,Yes,Yes,NR,0,1,1,1,1,0,0,NA,1,0,1,1,0
Ghana,1,2013,Yes,1,Yes,Yes,http://www.ghanaopengov.org/faq http://www.ghanaopengov.org/node/28 http://www.ghanaopengov.org/node/17,Yes,1,7,No,Yes,1,See narrative,No,0,NA,Yes,1,Yes,1,Kumasi report: http://ghanaopengov.org/sites/ default/files/reports/KumasiReport.pdf<br/>Tamale report: http://ghanaopengov.org/sites/ default/files/reports/TamaleReport.pdf<br/>Cape coast: http://ghanaopengov.org/sites/ default/files/reports/CapeCoastReport.pdf,5,Open,Consult,Yes,1,Invitation-only,Collaborate,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,1,1,0,0,0
Ghana,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Greece,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,0,1,0,NR,1,0,1,0,0
Greece,2,2014,Yes,1,Yes,Yes,http://bit.ly/1O1bVWQ,Yes,1,7,No,Yes,1,http://bit.ly/1O1bV9 http://bit.ly/1ZAxh2C,Yes,1,http://bit.ly/1mBpVgQ http://bit.ly/1mBpX8o,Yes,1,Yes,1,http://bit.ly/1NV2Sog,6,Open,Involve,No,0,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,NA,0,NA,1,0,1,1,1
Guatemala,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,No,0,No,0,NA,0,NR,NR,Yes,1,NR,NR,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,0,NR,0,1,1,0,0
